Text,Classification,Length
Bus accident,Fatal Incident,12
Dropped object.,HiPo Incident,15
Truck rollover.,HiPo Incident,15
Well control event,HiPo Incident,18
Shot by armed robbers,Fatal Incident,21
Pipeline strike near miss,HiPo Incident,25
Caught between steel pipes.,Fatal Incident,27
Victim died during a flight,Fatal Incident,27
"HIPO, Well Control Incident",HiPo Incident,27
"HIPO, Well Control Incident",HiPo Incident,27
Commercial jet plane crashed.,Fatal Incident,29
Dropped object in Vessel area.,HiPo Incident,30
Chlorination unit explosion. On,HiPo Incident,31
Fall from roof cover of 3 meters.,Fatal Incident,33
Fell from a houseboat and drowned,Fatal Incident,33
Labourer was run over by a truck.,Fatal Incident,33
Drowned whilst swimming in a river.,Fatal Incident,35
Unattended vehicle rolled down hill,HiPo Incident,35
A roustabout died of a heart attack.,Fatal Incident,36
Boat captain died of a heart attack.,Fatal Incident,36
Vehicle overturned near Haradh Gosp-1,Fatal Incident,37
Cladding fell from a mothballed unit.,HiPo Incident,37
Grating covering well cellar collapse,HiPo Incident,37
"HIPO, Loss of Well Containment (Fire)",HiPo Incident,37
Fell through hole in platform grating.,Fatal Incident,38
Hit by drilling equipment on the head.,Fatal Incident,38
Operator fell off platform and drowned,Fatal Incident,38
Struck by front-loader digging machine,Fatal Incident,38
A drillpipe fell to a lower deck level.,HiPo Incident,39
Emission of water base hydraulic fluid.,HiPo Incident,39
Stumbled due to missing skirting board.,HiPo Incident,39
The deck was slippery and he fell down.,HiPo Incident,39
4 joints of 7 inch casing rolls onto IP.,HiPo Incident,40
A radioactive source was lost or stolen.,HiPo Incident,40
Exhaust system backfired during startup.,HiPo Incident,40
"HIPO, Dropped Tubing Joint from Elevator",HiPo Incident,40
"HIPO, Fall of Derrickman on Monkey Board",HiPo Incident,40
A worker was struck by a reversing truck.,Fatal Incident,41
Two divers drowned due to unknown causes.,Fatal Incident,41
Loss of hydraulic oil from sub-sea plant.,HiPo Incident,41
Sulphur truck overturned injuring driver.,HiPo Incident,41
Uncontrollable roll of vehicle on decent.,HiPo Incident,41
Collision between bulldozer and side boom.,Fatal Incident,42
Driver collided with a third party vehicle,Fatal Incident,42
Side boom became unstable on a steep slope,Fatal Incident,42
A stop in production due to a gas leakage.,HiPo Incident,42
Accident occurred when vehicle turned over.,Fatal Incident,43
Collision with Moose.  Massive head injury.,Fatal Incident,43
Traffic accident outside area of operation.,Fatal Incident,43
A visitor was inattentive and hit her head.,HiPo Incident,43
